# MCMI-IV Table D.4: Raw Score to Base Rate and Percentile Rank Transformations
# for the Grossman Facet Scales
# Source: Pages 114-115
# Format: Facet,Raw_Score,BR,PR
# NOTE: Values extracted via vision from scanned images. Verify against page images for critical use.

## Page 114 (Left Table): Facets 1.1 through 6B.3

### 1.1 Interpersonally Unengaged (9 items, max 9)
1.1,0,0,8
1.1,1,30,23
1.1,2,60,38
1.1,3,64,53
1.1,4,68,66
1.1,5,72,77
1.1,6,75,86
1.1,7,80,93
1.1,8,85,97
1.1,9,100,99

### 1.2 Meager Content (9 items, max 9)
1.2,0,0,7
1.2,1,20,20
1.2,2,40,33
1.2,3,60,46
1.2,4,64,57
1.2,5,68,67
1.2,6,72,76
1.2,7,75,85
1.2,8,85,92
1.2,9,100,98

### 1.3 Temperamentally Apathetic (9 items, max 9)
1.3,0,0,10
1.3,1,30,29
1.3,2,60,44
1.3,3,64,56
1.3,4,68,66
1.3,5,72,74
1.3,6,75,82
1.3,7,80,89
1.3,8,85,95
1.3,9,100,99

### 2A.1 Interpersonally Aversive (8 items, max 8)
2A.1,0,0,4
2A.1,1,20,14
2A.1,2,40,27
2A.1,3,60,41
2A.1,4,65,50
2A.1,5,70,60
2A.1,6,75,70
2A.1,7,80,83
2A.1,8,85,89

### 2A.2 Alienated Self-Image (9 items, max 9)
2A.2,0,0,8
2A.2,1,20,21
2A.2,2,40,34
2A.2,3,60,47
2A.2,4,65,59
2A.2,5,70,69
2A.2,6,75,79
2A.2,7,82,87
2A.2,8,85,94
2A.2,9,100,98

### 2A.3 Vexatious Content (9 items, max 9)
2A.3,0,0,12
2A.3,1,30,33
2A.3,2,60,47
2A.3,3,68,56
2A.3,4,75,66
2A.3,5,78,74
2A.3,6,82,82
2A.3,7,85,89
2A.3,8,85,95
2A.3,9,100,99

### 2B.1 Cognitively Fatalistic (9 items, max 9)
2B.1,0,0,6
2B.1,1,20,16
2B.1,2,40,28
2B.1,3,60,41
2B.1,4,65,50
2B.1,5,70,60
2B.1,6,75,70
2B.1,7,80,80
2B.1,8,85,89
2B.1,9,100,97

### 2B.2 Temperamentally Woeful (... wait this is wrong ordering)

### 2B.2 Worthless Self-Image (9 items, max 9)
2B.2,0,0,16
2B.2,1,60,41
2B.2,2,65,55
2B.2,3,70,65
2B.2,4,75,73
2B.2,5,78,79
2B.2,6,82,85
2B.2,7,85,90
2B.2,8,85,95
2B.2,9,100,99

### 2B.3 Temperamentally Woeful (9 items, max 9)
2B.3,0,0,9
2B.3,1,30,17
2B.3,2,60,48
2B.3,3,65,57
2B.3,4,68,65
2B.3,5,72,71
2B.3,6,78,76
2B.3,7,82,83
2B.3,8,85,90
2B.3,9,100,97

### 3.1 Expressively Puerile (9 items, max 9)
3.1,0,0,12
3.1,1,30,22
3.1,2,60,38
3.1,3,65,54
3.1,4,70,66
3.1,5,75,76
