table,scale,raw_score,br_value
D.2_anxiety_depression_personality,1,0,3
D.2_anxiety_depression_personality,1,1,12
D.2_anxiety_depression_personality,1,2,20
D.2_anxiety_depression_personality,1,3,27
D.2_anxiety_depression_personality,1,4,33
D.2_anxiety_depression_personality,1,5,39
D.2_anxiety_depression_personality,1,6,44
D.2_anxiety_depression_personality,1,7,49
D.2_anxiety_depression_personality,1,8,53
D.2_anxiety_depression_personality,1,9,57
D.2_anxiety_depression_personality,1,10,61
D.2_anxiety_depression_personality,1,11,64
D.2_anxiety_depression_personality,1,12,67
D.2_anxiety_depression_personality,1,13,70
D.2_anxiety_depression_personality,1,14,73
D.2_anxiety_depression_personality,1,15,76
D.2_anxiety_depression_personality,1,16,78
D.2_anxiety_depression_personality,1,17,81
D.2_anxiety_depression_personality,1,18,83
D.2_anxiety_depression_personality,1,19,86
D.2_anxiety_depression_personality,1,20,88
D.2_anxiety_depression_personality,1,21,91
D.2_anxiety_depression_personality,1,22,93
D.2_anxiety_depression_personality,1,23,96
D.2_anxiety_depression_personality,1,24,99
D.2_anxiety_depression_personality,1,25,103
D.2_anxiety_depression_personality,1,26,107
D.2_anxiety_depression_personality,1,27,112
D.2_anxiety_depression_personality,2A,0,2
D.2_anxiety_depression_personality,2A,1,9
D.2_anxiety_depression_personality,2A,2,17
D.2_anxiety_depression_personality,2A,3,23
D.2_anxiety_depression_personality,2A,4,29
D.2_anxiety_depression_personality,2A,5,34
D.2_anxiety_depression_personality,2A,6,39
D.2_anxiety_depression_personality,2A,7,43
D.2_anxiety_depression_personality,2A,8,48
D.2_anxiety_depression_personality,2A,9,51
D.2_anxiety_depression_personality,2A,10,55
D.2_anxiety_depression_personality,2A,11,58
D.2_anxiety_depression_personality,2A,12,61
D.2_anxiety_depression_personality,2A,13,64
D.2_anxiety_depression_personality,2A,14,67
D.2_anxiety_depression_personality,2A,15,70
D.2_anxiety_depression_personality,2A,16,73
D.2_anxiety_depression_personality,2A,17,76
D.2_anxiety_depression_personality,2A,18,79
D.2_anxiety_depression_personality,2A,19,82
D.2_anxiety_depression_personality,2A,20,85
D.2_anxiety_depression_personality,2A,21,88
D.2_anxiety_depression_personality,2A,22,91
D.2_anxiety_depression_personality,2A,23,95
D.2_anxiety_depression_personality,2A,24,99
D.2_anxiety_depression_personality,2A,25,103
D.2_anxiety_depression_personality,2A,26,108
D.2_anxiety_depression_personality,2A,27,114
D.2_anxiety_depression_personality,2B,0,1
D.2_anxiety_depression_personality,2B,1,8
D.2_anxiety_depression_personality,2B,2,15
D.2_anxiety_depression_personality,2B,3,21
D.2_anxiety_depression_personality,2B,4,27
D.2_anxiety_depression_personality,2B,5,32
D.2_anxiety_depression_personality,2B,6,36
D.2_anxiety_depression_personality,2B,7,41
D.2_anxiety_depression_personality,2B,8,45
D.2_anxiety_depression_personality,2B,9,49
D.2_anxiety_depression_personality,2B,10,52
D.2_anxiety_depression_personality,2B,11,56
D.2_anxiety_depression_personality,2B,12,59
D.2_anxiety_depression_personality,2B,13,62
D.2_anxiety_depression_personality,2B,14,65
D.2_anxiety_depression_personality,2B,15,68
D.2_anxiety_depression_personality,2B,16,71
D.2_anxiety_depression_personality,2B,17,74
