table,scale,raw_score,br_value
D.2_clinical_syndromes,A,0,3
D.2_clinical_syndromes,A,1,15
D.2_clinical_syndromes,A,2,26
D.2_clinical_syndromes,A,3,33
D.2_clinical_syndromes,A,4,39
D.2_clinical_syndromes,A,5,44
D.2_clinical_syndromes,A,6,49
D.2_clinical_syndromes,A,7,53
D.2_clinical_syndromes,A,8,57
D.2_clinical_syndromes,A,9,60
D.2_clinical_syndromes,A,10,64
D.2_clinical_syndromes,A,11,67
D.2_clinical_syndromes,A,12,70
D.2_clinical_syndromes,A,13,73
D.2_clinical_syndromes,A,14,76
D.2_clinical_syndromes,A,15,79
D.2_clinical_syndromes,A,16,82
D.2_clinical_syndromes,A,17,85
D.2_clinical_syndromes,A,18,88
D.2_clinical_syndromes,A,19,91
D.2_clinical_syndromes,A,20,95
D.2_clinical_syndromes,A,21,99
D.2_clinical_syndromes,A,22,103
D.2_clinical_syndromes,A,23,108
D.2_clinical_syndromes,A,24,114
D.2_clinical_syndromes,H,0,1
D.2_clinical_syndromes,H,1,8
D.2_clinical_syndromes,H,2,18
D.2_clinical_syndromes,H,3,26
D.2_clinical_syndromes,H,4,33
D.2_clinical_syndromes,H,5,39
D.2_clinical_syndromes,H,6,44
D.2_clinical_syndromes,H,7,49
D.2_clinical_syndromes,H,8,54
D.2_clinical_syndromes,H,9,58
D.2_clinical_syndromes,H,10,62
D.2_clinical_syndromes,H,11,66
D.2_clinical_syndromes,H,12,70
D.2_clinical_syndromes,H,13,74
D.2_clinical_syndromes,H,14,78
D.2_clinical_syndromes,H,15,82
D.2_clinical_syndromes,H,16,86
D.2_clinical_syndromes,H,17,90
D.2_clinical_syndromes,H,18,95
D.2_clinical_syndromes,H,19,100
D.2_clinical_syndromes,H,20,106
D.2_clinical_syndromes,H,21,113
D.2_clinical_syndromes,N,0,5
D.2_clinical_syndromes,N,1,14
D.2_clinical_syndromes,N,2,22
D.2_clinical_syndromes,N,3,28
D.2_clinical_syndromes,N,4,34
D.2_clinical_syndromes,N,5,39
D.2_clinical_syndromes,N,6,44
D.2_clinical_syndromes,N,7,48
D.2_clinical_syndromes,N,8,52
D.2_clinical_syndromes,N,9,56
D.2_clinical_syndromes,N,10,60
D.2_clinical_syndromes,N,11,64
D.2_clinical_syndromes,N,12,68
D.2_clinical_syndromes,N,13,72
D.2_clinical_syndromes,N,14,76
D.2_clinical_syndromes,N,15,80
D.2_clinical_syndromes,N,16,85
D.2_clinical_syndromes,N,17,90
D.2_clinical_syndromes,N,18,96
D.2_clinical_syndromes,N,19,103
D.2_clinical_syndromes,N,20,112
D.2_clinical_syndromes,D,0,1
D.2_clinical_syndromes,D,1,10
D.2_clinical_syndromes,D,2,19
D.2_clinical_syndromes,D,3,26
D.2_clinical_syndromes,D,4,32
D.2_clinical_syndromes,D,5,37
D.2_clinical_syndromes,D,6,42
D.2_clinical_syndromes,D,7,46
D.2_clinical_syndromes,D,8,50
D.2_clinical_syndromes,D,9,54
D.2_clinical_syndromes,D,10,58
D.2_clinical_syndromes,D,11,62
D.2_clinical_syndromes,D,12,65
D.2_clinical_syndromes,D,13,69
D.2_clinical_syndromes,D,14,72
D.2_clinical_syndromes,D,15,76
D.2_clinical_syndromes,D,16,80
D.2_clinical_syndromes,D,17,84
D.2_clinical_syndromes,D,18,88
D.2_clinical_syndromes,D,19,93
D.2_clinical_syndromes,D,20,98
D.2_clinical_syndromes,D,21,104
